"Station","Date","Maximum Temperature (°C)","Minimum Temperature (°C)","Grass Temperature (°C)","Hail","Frost","Snow","Fog","Thunder","Lightening","Sand storm","Gale","Accumulated 6 hr evaporation (mm)","Accumulated 12 hr evaporation (mm)","Daily evaporation type A (mm)","Daily evaporation type A code (code)","Sunshine duration (minutes)"
"Bet Dagan Man 01/1964-04/2024","01/01/2020","","","","0","","0","0","0","0","0","","","","0.8","0",""
"Bet Dagan Man 01/1964-04/2024","02/01/2020","","","","0","","0","0","1","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","03/01/2020","","","","0","","0","0","0","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","04/01/2020","","","","0","","0","0","1","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","05/01/2020","","","","0","","0","0","1","0","0","","","","2.4","0",""
"Bet Dagan Man 01/1964-04/2024","06/01/2020","","","","0","","0","0","0","0","0","","","","3.9","0",""
"Bet Dagan Man 01/1964-04/2024","07/01/2020","","","","0","","0","0","0","0","0","","","","3.7","0",""
"Bet Dagan Man 01/1964-04/2024","08/01/2020","","","","0","","0","0","1","1","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","09/01/2020","","","","0","","0","0","1","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","10/01/2020","","","","0","","0","0","0","0","0","","","","1.0","0",""
"Bet Dagan Man 01/1964-04/2024","11/01/2020","","","","0","","0","0","0","0","0","","","","1.5","0",""
"Bet Dagan Man 01/1964-04/2024","12/01/2020","","","","0","","0","0","0","0","0","","","","2.2","0",""
"Bet Dagan Man 01/1964-04/2024","13/01/2020","","","","0","","0","0","0","0","0","","","","0.6","0",""
"Bet Dagan Man 01/1964-04/2024","14/01/2020","","","","0","","0","0","0","0","0","","","","1.8","0",""
"Bet Dagan Man 01/1964-04/2024","15/01/2020","","","","0","","0","0","0","0","0","","","","3.0","0",""
"Bet Dagan Man 01/1964-04/2024","16/01/2020","","","","0","","0","0","0","0","0","","","","3.5","0",""
"Bet Dagan Man 01/1964-04/2024","17/01/2020","","","","0","","0","0","0","0","0","","","","2.1","0",""
"Bet Dagan Man 01/1964-04/2024","18/01/2020","","","","0","","0","0","0","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","19/01/2020","","","","0","","0","0","1","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","20/01/2020","","","","0","","0","0","0","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","21/01/2020","","","","1","","0","0","1","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","22/01/2020","","","","0","","0","0","1","0","0","","","","0.8","0",""
"Bet Dagan Man 01/1964-04/2024","23/01/2020","","","","0","","0","0","0","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","24/01/2020","","","","0","","0","0","1","0","0","","","","2.3","0",""
"Bet Dagan Man 01/1964-04/2024","25/01/2020","","","","0","","0","0","0","0","0","","","","1.6","0",""
"Bet Dagan Man 01/1964-04/2024","26/01/2020","","","","0","","0","0","0","0","0","","","","1.6","0",""
"Bet Dagan Man 01/1964-04/2024","27/01/2020","","","","0","","0","0","0","0","0","","","","3.4","0",""
"Bet Dagan Man 01/1964-04/2024","28/01/2020","","","","0","","0","0","0","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","29/01/2020","","","","0","","0","0","0","0","0","","","","1.8","0",""
"Bet Dagan Man 01/1964-04/2024","30/01/2020","","","","0","","0","0","0","0","0","","","","3.1","0",""
"Bet Dagan Man 01/1964-04/2024","31/01/2020","","","","0","","0","0","0","0","0","","","","3.8","0",""
"Bet Dagan Man 01/1964-04/2024","01/02/2020","","","","0","","0","0","0","0","0","","","","2.4","0",""
"Bet Dagan Man 01/1964-04/2024","02/02/2020","","","","0","","0","0","0","0","0","","","","2.5","0",""
"Bet Dagan Man 01/1964-04/2024","03/02/2020","","","","0","","0","0","0","0","0","","","","2.0","0",""
"Bet Dagan Man 01/1964-04/2024","04/02/2020","","","","0","","0","0","0","0","0","","","","1.8","0",""
"Bet Dagan Man 01/1964-04/2024","05/02/2020","","","","0","","0","0","0","0","0","","","","2.6","0",""
"Bet Dagan Man 01/1964-04/2024","06/02/2020","","","","0","","0","0","0","0","0","","","","2.9","0",""
"Bet Dagan Man 01/1964-04/2024","07/02/2020","","","","0","","0","0","1","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","08/02/2020","","","","0","","0","0","1","0","0","","","","2.5","0",""
"Bet Dagan Man 01/1964-04/2024","09/02/2020","","","","0","","0","0","0","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","10/02/2020","","","","0","","0","0","0","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","11/02/2020","","","","0","","0","0","0","0","0","","","","2.3","0",""
"Bet Dagan Man 01/1964-04/2024","12/02/2020","","","","0","","0","0","0","0","0","","","","3.9","0",""
"Bet Dagan Man 01/1964-04/2024","13/02/2020","","","","0","","0","0","0","0","0","","","","2.2","0",""
"Bet Dagan Man 01/1964-04/2024","14/02/2020","","","","0","","0","0","0","0","0","","","","3.9","0",""
"Bet Dagan Man 01/1964-04/2024","15/02/2020","","","","0","","0","0","0","0","0","","","","3.0","0",""
"Bet Dagan Man 01/1964-04/2024","16/02/2020","","","","0","","0","0","0","0","0","","","","2.2","0",""
"Bet Dagan Man 01/1964-04/2024","17/02/2020","","","","0","","0","0","0","0","0","","","","2.6","0",""
"Bet Dagan Man 01/1964-04/2024","18/02/2020","","","","0","","0","0","0","0","0","","","","2.6","0",""
"Bet Dagan Man 01/1964-04/2024","19/02/2020","","","","0","","0","0","0","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","20/02/2020","","","","0","","0","0","0","0","0","","","","2.8","0",""
"Bet Dagan Man 01/1964-04/2024","21/02/2020","","","","0","","0","0","0","0","0","","","","3.8","0",""
"Bet Dagan Man 01/1964-04/2024","22/02/2020","","","","0","","0","0","0","0","0","","","","1.5","0",""
"Bet Dagan Man 01/1964-04/2024","23/02/2020","","","","0","","0","0","0","0","0","","","","2.2","0",""
"Bet Dagan Man 01/1964-04/2024","24/02/2020","","","","0","","0","0","0","0","0","","","","1.6","0",""
"Bet Dagan Man 01/1964-04/2024","25/02/2020","","","","0","","0","0","0","0","0","","","","2.7","0",""
"Bet Dagan Man 01/1964-04/2024","26/02/2020","","","","0","","0","0","0","0","0","","","","2.2","0",""
"Bet Dagan Man 01/1964-04/2024","27/02/2020","","","","0","","0","0","0","0","0","","","","3.1","0",""
"Bet Dagan Man 01/1964-04/2024","28/02/2020","","","","0","","0","0","0","0","0","","","","2.8","0",""
"Bet Dagan Man 01/1964-04/2024","29/02/2020","","","","0","","0","0","0","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","01/03/2020","","","","0","","0","0","0","0","0","","","","4.0","0",""
"Bet Dagan Man 01/1964-04/2024","02/03/2020","","","","0","","0","0","0","0","0","","","","2.8","0",""
"Bet Dagan Man 01/1964-04/2024","03/03/2020","","","","0","","0","0","0","0","0","","","","4.4","0",""
"Bet Dagan Man 01/1964-04/2024","04/03/2020","","","","0","","0","0","0","0","0","","","","3.5","0",""
"Bet Dagan Man 01/1964-04/2024","05/03/2020","","","","0","","0","0","0","0","0","","","","4.0","0",""
"Bet Dagan Man 01/1964-04/2024","06/03/2020","","","","0","","0","0","0","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","07/03/2020","","","","0","","0","0","0","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","08/03/2020","","","","0","","0","0","0","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","09/03/2020","","","","0","","0","0","0","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","10/03/2020","","","","0","","0","0","0","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","11/03/2020","","","","0","","0","0","0","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","12/03/2020","","","","0","","0","0","0","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","13/03/2020","","","","0","","0","0","0","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","14/03/2020","","","","0","","0","0","0","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","15/03/2020","","","","0","","0","0","0","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","16/03/2020","","","","0","","0","0","0","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","17/03/2020","","","","0","","0","0","0","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","18/03/2020","","","","0","","0","0","0","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","19/03/2020","","","","0","","0","0","0","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","20/03/2020","","","","0","","0","0","1","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","21/03/2020","","","","0","","0","0","0","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","22/03/2020","","","","0","","0","0","0","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","23/03/2020","","","","0","","0","0","0","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","24/03/2020","","","","0","","0","0","0","0","0","","","","4.0","0",""
"Bet Dagan Man 01/1964-04/2024","25/03/2020","","","","0","","0","0","0","0","0","","","","4.3","0",""
"Bet Dagan Man 01/1964-04/2024","26/03/2020","","","","0","","0","0","0","0","0","","","","3.4","0",""
"Bet Dagan Man 01/1964-04/2024","27/03/2020","","","","0","","0","0","0","0","0","","","","4.2","0",""
"Bet Dagan Man 01/1964-04/2024","28/03/2020","","","","0","","0","0","0","0","0","","","","4.0","0",""
"Bet Dagan Man 01/1964-04/2024","29/03/2020","","","","0","","0","0","0","0","0","","","","5.8","0",""
"Bet Dagan Man 01/1964-04/2024","30/03/2020","","","","0","","0","0","0","0","0","","","","4.7","0",""
"Bet Dagan Man 01/1964-04/2024","31/03/2020","","","","0","","0","0","0","0","0","","","","3.4","0",""
"Bet Dagan Man 01/1964-04/2024","01/04/2020","","","","0","","0","0","0","0","0","","","","3.3","0",""
"Bet Dagan Man 01/1964-04/2024","02/04/2020","","","","0","","0","0","0","0","0","","","","3.4","0",""
"Bet Dagan Man 01/1964-04/2024","03/04/2020","","","","0","","0","0","0","0","0","","","","5.6","0",""
"Bet Dagan Man 01/1964-04/2024","04/04/2020","","","","0","","0","0","0","0","0","","","","7.1","0",""
"Bet Dagan Man 01/1964-04/2024","05/04/2020","","","","0","","0","0","0","0","0","","","","5.0","0",""
"Bet Dagan Man 01/1964-04/2024","06/04/2020","","","","0","","0","0","0","0","0","","","","5.3","0",""
"Bet Dagan Man 01/1964-04/2024","07/04/2020","","","","0","","0","0","0","0","0","","","","3.0","0",""
"Bet Dagan Man 01/1964-04/2024","08/04/2020","","","","0","","0","0","0","0","0","","","","6.0","0",""
"Bet Dagan Man 01/1964-04/2024","09/04/2020","","","","0","","0","0","0","0","0","","","","2.8","0",""
"Bet Dagan Man 01/1964-04/2024","10/04/2020","","","","0","","0","0","0","0","0","","","","","0",""
"Bet Dagan Man 01/1964-04/2024","11/04/2020","","","","0","","0","0","0","0","0","","","","2.3","0",""
"Bet Dagan Man 01/1964-04/2024","12/04/2020","","","","0","","0","0","0","0","0","","","","","",""
"Bet Dagan Man 01/1964-04/2024","13/04/2020","","","","0","","0","0","0","0","0","","","","3.9","0",""
"Bet Dagan Man 01/1964-04/2024","14/04/2020","","","","0","","0","0","0","0","0","","","","5.0","0",""
"Bet Dagan Man 01/1964-04/2024","15/04/2020","","","","0","","0","0","0","0","0","","","","5.4","0",""
"Bet Dagan Man 01/1964-04/2024","16/04/2020","","","","0","","0","0","0","0","0","","","","1.5","0",""
"Bet Dagan Man 01/1964-04/2024","17/04/2020","","","","0","","0","0","0","0","0","","","","4.8","0",""
"Bet Dagan Man 01/1964-04/2024","18/04/2020","","","","0","","0","0","0","0","0","","","","4.5","0",""
"Bet Dagan Man 01/1964-04/2024","19/04/2020","","","","0","","0","0","0","0","0","","","","4.8","0",""
"Bet Dagan Man 01/1964-04/2024","20/04/2020","","","","0","","0","0","0","0","0","","","","6.2","0",""
"Bet Dagan Man 01/1964-04/2024","21/04/2020","","","","0","","0","0","0","0","0","","","","5.2","0",""
"Bet Dagan Man 01/1964-04/2024","22/04/2020","","","","0","","0","0","0","0","0","","","","6.0","0",""
"Bet Dagan Man 01/1964-04/2024","23/04/2020","","","","0","","0","0","0","0","0","","","","5.8","0",""
"Bet Dagan Man 01/1964-04/2024","24/04/2020","","","","0","","0","0","0","0","0","","","","4.6","0",""
"Bet Dagan Man 01/1964-04/2024","25/04/2020","","","","0","","0","0","0","0","0","","","","5.6","0",""
"Bet Dagan Man 01/1964-04/2024","26/04/2020","","","","0","","0","0","0","0","0","","","","6.1","0",""
