"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ISM00040180","1951-01","32.011","34.887","41.1","BEN GURION, IS","0.0","S","0.0","3,S","5",",S","3",",S","1",",S","0","3,S","0","3,S","0",",S","13",",S","0",",S","19510130","+,3,S","19510107",",,S","19510131",",,S","2.2","3,S,30,+","80.0",",,S,07,","27.2",",S,31,","","","147.8",",S","105.1",",,,S","13.09","3,S","19.73",",,,S","6.45","3,,,S"
"ISM00040180","1951-02","32.011","34.887","41.1","BEN GURION, IS","0.0","S","0.0","1,S","8",",S","6",",S","1",",S","0","1,S","0","1,S","0",",S","6",",S","0",",S","19510213",",1,S","19510219",",,S","19510227",",,S","3.9","1,S,13,","51.1",",,S,19,","25.0",",S,27,","","","140.5",",S","96.3",",,,S","13.10","1,S","19.33",",,,S","6.87","1,,,S"
"ISM00040180","1951-03","32.011","34.887","41.1","BEN GURION, IS","8.1","S","8.1","1,S","4",",S","4",",S","0",",S","0","1,S","0","1,S","0",",S","24",",S","1",",S","19510314",",1,S","19510326",",,S","19510324",",,S","2.2","1,S,14,","20.1",",,S,26,","33.9",",S,24,","","","68.1",",S","43.8",",,,S","16.35","1,S","24.19",",,,S","8.50","1,,,S"
"ISM00040180","1951-04","32.011","34.887","41.1","BEN GURION, IS","39.7","S","31.6","4,S","1",",S","0",",S","0",",S","0","4,S","0","4,S","0",",S","28",",S","4",",S","19510427",",4,S","19510419",",,S","19510414","+,,S","6.1","4,S,27,","0.3",",,S,19,","35.0",",S,14,+","","","26.6",",S","0.3",",,,S","18.18","4,S","25.70",",,,S","10.66","4,,,S"
"ISM00040180","1951-05","32.011","34.887","41.1","BEN GURION, IS","134.5","S","94.8","3,S","0",",S","0",",S","0",",S","0","3,S","0","3,S","0",",S","31",",S","7",",S","19510505","+,3,S","19510531","+,,S","19510517",",,S","10.0","3,S,05,+","0.0",",,S,31,+","40.0",",S,17,","","","0.0",",S","0.0",",,,S","21.60","3,S","29.52",",,,S","13.69","3,,,S"
"ISM00040180","1951-06","32.011","34.887","41.1","BEN GURION, IS","298.9","S","164.4","1,S","0",",S","0",",S","0",",S","0","1,S","0","1,S","0",",S","30",",S","10",",S","19510603",",1,S","19510630","+,,S","19510607",",,S","13.9","1,S,03,","0.0",",,S,30,+","36.1",",S,07,","","","0.0",",S","0.0",",,,S","23.99","1,S","30.61",",,,S","17.37","1,,,S"
"ISM00040180","1951-07","32.011","34.887","41.1","BEN GURION, IS","537.4","S","238.5","1,S","0",",S","0",",S","0",",S","0","1,S","0","1,S","0",",S","31",",S","25",",S","19510702",",1,S","19510731","+,,S","19510711",",,S","17.2","1,S,02,","0.0",",,S,31,+","35.0",",S,11,","0.0","S","0.0",",S","0.0",",,,S","26.29","1,S","32.43",",,,S","20.15","1,,,S"
"ISM00040180","1951-08","32.011","34.887","41.1","BEN GURION, IS","804.9","S","267.5",",S","0",",S","0",",S","0",",S","0",",S","0",",S","0",",S","31",",S","31",",S","19510813","+,,S","19510831","+,,S","19510813","+,,S","17.2",",S,13,+","0.0",",,S,31,+","36.1",",S,13,+","0.0","S","0.0",",S","0.0",",,,S","26.96",",S","33.55",",,,S","20.37",",,,S"
"ISM00040180","1951-09","32.011","34.887","41.1","BEN GURION, IS","1026.5","S","221.6","3,S","0",",S","0",",S","0",",S","0","2,S","0","2,S","0","1,S","29","1,S","24","1,S","19510926","+,2,S","19510930","+,,S","19510926",",1,S","17.2","2,S,26,+","0.0",",,S,30,+","37.2","1,S,26,","0.0","S","0.0","1,S","0.0",",,,S","26.45","3,S","32.73","1,,,S","20.18","2,,,S"
"ISM00040180","1951-10","32.011","34.887","41.1","BEN GURION, IS","1137.3","S","110.8","5,S","4",",S","1",",S","0",",S","0","5,S","0","5,S","0",",S","31",",S","6",",S","19511026",",5,S","19511014",",,S","19511012",",,S","11.1","5,S,26,","7.1",",,S,14,","37.8",",S,12,","0.0","S","0.0",",S","9.9",",,,S","22.49","5,S","29.32",",,,S","15.67","5,,,S"
"ISM00040180","1951-11","32.011","34.887","41.1","BEN GURION, IS","1149.0","S","11.7","4,S","9",",S","5",",S","0",",S","0","2,S","0","2,S","0","2,S","26","2,S","1","2,S","19511112",",2,S","19511119",",,S","19511116",",2,S","7.2","2,S,12,","16.0",",,S,19,","32.8","2,S,16,","22.0","S","22.0","2,S","45.8",",,,S","17.88","4,S","24.50","2,,,S","11.25","2,,,S"
"ISM00040180","1951-12","32.011","34.887","41.1","BEN GURION, IS","1149.0","S","0.0","3,S","14","1,S","11","1,S","5","1,S","0","3,S","0","3,S","0","1,S","7","1,S","0","1,S","19511226","+,3,S","19511215",",1,S","19511206",",1,S","3.9","3,S,26,+","59.9","1,,S,15,","23.9","1,S,06,","170.8","S","148.8","1,S","312.2","1,,,S","12.95","3,S","17.52","1,,,S","8.38","3,,,S"
"ISM00040180","1952-01","32.011","34.887","41.1","BEN GURION, IS","0.0","S","0.0","3,S","11",",S","10",",S","1",",S","0","3,S","0","3,S","0",",S","6",",S","0",",S","19520126",",3,S","19520110",",,S","19520131",",,S","3.9","3,S,26,","30.0",",,S,10,","22.8",",S,31,","327.5","S","156.7",",S","136.2",",,,S","12.60","3,S","17.90",",,,S","7.30","3,,,S"
"ISM00040180","1952-02","32.011","34.887","41.1","BEN GURION, IS","0.0","S","0.0","4,S","8",",S","5",",S","0",",S","0","3,S","0","3,S","0","1,S","9","1,S","0","1,S","19520220","+,3,S","19520203",",,S","19520218","+,1,S","3.9","3,S,20,+","20.1",",,S,03,","25.0","1,S,18,+","442.4","S","114.9","1,S","54.7",",,,S","13.75","4,S","19.45","1,,,S","8.06","3,,,S"
"ISM00040180","1952-03","32.011","34.887","41.1","BEN GURION, IS","1.1","S","1.1","3,S","11",",S","9",",S","0",",S","0","3,S","0","3,S","0",",S","14",",S","0",",S","19520326","+,3,S","19520303",",,S","19520331",",,S","5.0","3,S,26,+","24.9",",,S,03,","28.9",",S,31,","560.5","S","118.1",",S","76.2",",,,S","14.12","3,S","20.25",",,,S","8.00","3,,,S"
"ISM00040180","1952-04","32.011","34.887","41.1","BEN GURION, IS","26.4","S","25.3","4,S","2","1,S","2","1,S","0","1,S","0","2,S","0","2,S","0","2,S","22","2,S","4","2,S","19520415",",2,S","19520414",",1,S","19520405",",2,S","3.9","2,S,15,","4.1","1,,S,14,","36.1","2,S,05,","610.8","S","50.3","2,S","7.1","1,,,S","17.31","4,S","24.86","2,,,S","9.76","2,,,S"
"ISM00040180","1952-05","32.011","34.887","41.1","BEN GURION, IS","86.4","S","60.0","5,S","0","1,S","0","1,S","0","1,S","0","5,S","0","5,S","0",",S","31",",S","8",",S","19520531",",5,S","19520531","+,1,S","19520525",",,S","8.9","5,S,31,","0.0","1,,S,31,+","42.2",",S,25,","613.9","S","3.1",",S","0.0","1,,,S","20.70","5,S","29.01",",,,S","12.39","5,,,S"
"ISM00040180","1952-06","32.011","34.887","41.1","BEN GURION, IS","214.9","S","128.5","3,S","0",",S","0",",S","0",",S","0","3,S","0","3,S","0",",S","30",",S","7",",S","19520616",",3,S","19520630","+,,S","19520602",",,S","12.8","3,S,16,","0.0",",,S,30,+","42.2",",S,02,","613.9","S","0.0",",S","0.0",",,,S","23.24","3,S","30.43",",,,S","16.05","3,,,S"
"ISM00040180","1952-07","32.011","34.887","41.1","BEN GURION, IS","424.8","S","209.9",",S","0",",S","0",",S","0",",S","0",",S","0",",S","0",",S","31",",S","14",",S","19520717","+,,S","19520731","+,,S","19520731",",,S","16.1",",S,17,+","0.0",",,S,31,+","35.0",",S,31,","0.0","S","0.0",",S","0.0",",,,S","25.10",",S","31.52",",,,S","18.69",",,,S"
"ISM00040180","1952-08","32.011","34.887","41.1","BEN GURION, IS","689.3","S","264.5",",S","0",",S","0",",S","0",",S","0",",S","0",",S","0",",S","31",",S","30",",S","19520816",",,S","19520831","+,,S","19520826","+,,S","16.1",",S,16,","0.0",",,S,31,+","37.2",",S,26,+","0.0","S","0.0",",S","0.0",",,,S","26.86",",S","33.46",",,,S","20.27",",,,S"
"ISM00040180","1952-09","32.011","34.887","41.1","BEN GURION, IS","949.4","S","260.1",",S","0",",S","0",",S","0",",S","0",",S","0",",S","0",",S","30",",S","29",",S","19520928","+,,S","19520930","+,,S","19520917",",,S","17.8",",S,28,+","0.0",",,S,30,+","36.1",",S,17,","0.0","S","0.0",",S","0.0",",,,S","27.00",",S","33.42",",,,S","20.59",",,,S"
"ISM00040180","1952-10","32.011","34.887","41.1","BEN GURION, IS","1086.9","S","137.5","3,S","1",",S","1",",S","0",",S","0","3,S","0","3,S","0",",S","31",",S","8",",S","19521027",",3,S","19521031",",,S","19521027",",,S","12.2","3,S,27,","3.0",",,S,31,","37.2",",S,27,","0.0","S","0.0",",S","3.0",",,,S","23.21","3,S","30.40",",,,S","16.03","3,,,S"
"ISM00040180","1952-11","32.011","34.887","41.1","BEN GURION, IS","1104.8","S","17.9","2,S","5",",S","4",",S","0",",S","0","2,S","0","2,S","0",",S","29",",S","0",",S","19521118",",2,S","19521125",",,S","19521109","+,,S","2.8","2,S,18,","9.9",",,S,25,","28.9",",S,09,+","32.2","S","32.2",",S","32.8",",,,S","17.84","2,S","24.78",",,,S","10.90","2,,,S"
"ISM00040180","1952-12","32.011","34.887","41.1","BEN GURION, IS","1128.7","S","23.9","4,S","7",",S","3",",S","0",",S","0","4,S","0","4,S","0",",S","22",",S","2",",S","19521229",",4,S","19521214",",,S","19521208","+,,S","3.9","4,S,29,","13.0",",,S,14,","33.9",",S,08,+","108.0","S","75.8",",S","23.7",",,,S","16.49","4,S","23.12",",,,S","9.86","4,,,S"
"ISM00040180","1953-01","32.011","34.887","41.1","BEN GURION, IS","0.5","S","0.5","4,S","10",",S","7",",S","2",",S","0","4,S","0","4,S","0",",S","8",",S","0",",S","19530114",",4,S","19530117",",,S","19530103","+,,S","1.1","4,S,14,","70.1",",,S,17,","26.1",",S,03,+","270.2","S","162.2",",S","168.7",",,,S","12.42","4,S","18.48",",,,S","6.36","4,,,S"
"ISM00040180","1953-02","32.011","34.887","41.1","BEN GURION, IS","7.4","S","6.9","4,S","11",",S","9",",S","0",",S","0","4,S","0","4,S","0","1,S","7","1,S","0","1,S","19530213",",4,S","19530211",",,S","19530215",",1,S","2.8","4,S,13,","20.1",",,S,11,","28.9","1,S,15,","385.1","S","114.9","1,S","92.2",",,,S","13.78","4,S","19.41","1,,,S","8.15","4,,,S"
"ISM00040180","1953-03","32.011","34.887","41.1","BEN GURION, IS","11.5","S","4.1","2,S","20",",S","15",",S","1",",S","0","2,S","0","2,S","0",",S","8",",S","0",",S","19530325",",2,S","19530301",",,S","19530331",",,S","1.1","2,S,25,","26.9",",,S,01,","28.9",",S,31,","561.2","S","176.1",",S","168.6",",,,S","12.68","2,S","18.39",",,,S","6.97","2,,,S"
"ISM00040180","1953-04","32.011","34.887","41.1","BEN GURION, IS","19.9","S","8.4","2,S","5","1,S","3","1,S","0","1,S","0","2,S","0","2,S","0",",S","21",",S","0",",S","19530428","+,2,S","19530401",",1,S","19530418","+,,S","7.2","2,S,28,+","14.0","1,,S,01,","30.0",",S,18,+","617.9","S","56.7",",S","33.3","1,,,S","16.42","2,S","23.54",",,,S","9.31","2,,,S"
"ISM00040180","1953-05","32.011","34.887","41.1","BEN GURION, IS","86.4","S","66.5","3,S","0",",S","0",",S","0",",S","0","2,S","0","2,S","0","1,S","30","1,S","6","1,S","19530509",",2,S","19530531","+,,S","19530524",",1,S","7.8","2,S,09,","0.0",",,S,31,+","37.8","1,S,24,","621.2","S","3.3","1,S","0.0",",,,S","20.60","3,S","28.64","1,,,S","12.57","2,,,S"
"ISM00040180","1953-06","32.011","34.887","41.1","BEN GURION, IS","241.4","S","155.0","1,S","0",",S","0",",S","0",",S","0","1,S","0","1,S","0",",S","30",",S","6",",S","19530616",",1,S","19530630","+,,S","19530616",",,S","12.8","1,S,16,","0.0",",,S,30,+","41.1",",S,16,","621.2","S","0.0",",S","0.0",",,,S","23.65","1,S","30.84",",,,S","16.46","1,,,S"
"ISM00040180","1953-07","32.011","34.887","41.1","BEN GURION, IS","487.4","S","246.0",",S","0",",S","0",",S","0",",S","0",",S","0",",S","0",",S","31",",S","24",",S","19530709","+,,S","19530731","+,,S","19530720",",,S","17.2",",S,09,+","0.0",",,S,31,+","37.2",",S,20,","0.0","S","0.0",",S","0.0",",,,S","26.27",",S","32.84",",,,S","19.70",",,,S"
"ISM00040180","1953-08","32.011","34.887","41.1","BEN GURION, IS","726.0","S","238.6","2,S","0",",S","0",",S","0",",S","0","1,S","0","1,S","0","1,S","30","1,S","25","1,S","19530828","+,1,S","19530831","+,,S","19530808",",1,S","17.8","1,S,28,+","0.0",",,S,31,+","36.1","1,S,08,","0.0","S","0.0","1,S","0.0",",,,S","26.55","2,S","32.57","1,,,S","20.52","1,,,S"
"ISM00040180","1953-09","32.011","34.887","41.1","BEN GURION, IS","905.3","S","179.3","1,S","0",",S","0",",S","0",",S","0","1,S","0","1,S","0",",S","30",",S","12",",S","19530911","+,1,S","19530930","+,,S","19530926",",,S","13.9","1,S,11,+","0.0",",,S,30,+","36.1",",S,26,","0.0","S","0.0",",S","0.0",",,,S","24.46","1,S","31.24",",,,S","17.68","1,,,S"
"ISM00040180","1953-10","32.011","34.887","41.1","BEN GURION, IS","1040.2","S","134.9","2,S","1",",S","0",",S","0",",S","0","2,S","0","2,S","0",",S","31",",S","7",",S","19531024",",2,S","19531007",",,S","19531009",",,S","10.0","2,S,24,","0.3",",,S,07,","35.0",",S,09,","0.0","S","0.0",",S","0.3",",,,S","22.95","2,S","29.61",",,,S","16.29","2,,,S"
