"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SPE00120611","1947-03","43.2981","-2.9056","42.0","BILBAO AEROPUERTO, SP","","","","","12",",E","5",",E","0",",E","","","","","","","","","","","","","19470324",",,E","","","","","20.1",",,E,24,","","","","","","","55.9",",,,E","","","","","",""
"SPE00120611","1947-04","43.2981","-2.9056","42.0","BILBAO AEROPUERTO, SP","","","2.8","1,E","6",",E","3",",E","0",",E","0","1,E","0","1,E","0",",E","9",",E","0",",E","19470412",",1,E","19470404",",,E","19470425",",,E","0.2","1,E,12,","6.3",",,E,04,","31.8",",E,25,","","","153.5",",E","20.7",",,,E","13.02","1,E","19.23",",,,E","6.82","1,,,E"
"SPE00120611","1947-05","43.2981","-2.9056","42.0","BILBAO AEROPUERTO, SP","","","21.7","1,E","12",",E","9",",E","1",",E","0",",E","0",",E","0","1,E","10","1,E","1","1,E","19470502",",,E","19470501",",,E","19470529",",1,E","1.8",",E,02,","57.6",",,E,01,","35.4","1,E,29,","","","114.5","1,E","114.0",",,,E","15.15","1,E","20.52","1,,,E","9.79",",,,E"
"SPE00120611","1947-06","43.2981","-2.9056","42.0","BILBAO AEROPUERTO, SP","","","27.1",",E","11",",E","5",",E","0",",E","0",",E","0",",E","0",",E","20",",E","3",",E","19470623",",,E","19470604",",,E","19470617",",,E","7.4",",E,23,","7.2",",,E,04,","35.0",",E,17,","","","33.0",",E","32.1",",,,E","18.14",",E","23.33",",,,E","12.94",",,,E"
"SPE00120611","1947-07","43.2981","-2.9056","42.0","BILBAO AEROPUERTO, SP","","","68.1",",E","5",",E","2",",E","0",",E","0",",E","0",",E","0",",E","22",",E","2",",E","19470709",",,E","19470707",",,E","19470726",",,E","9.6",",E,09,","8.8",",,E,07,","42.0",",E,26,","15.7","E","15.7",",E","14.4",",,,E","20.03",",E","24.77",",,,E","15.28",",,,E"
"SPE00120611","1947-08","43.2981","-2.9056","42.0","BILBAO AEROPUERTO, SP","","","94.1",",E","11",",E","7",",E","2",",E","0",",E","0",",E","0",",E","30",",E","3",",E","19470828",",,E","19470825",",,E","19470819",",,E","12.2",",E,28,","36.0",",,E,25,","38.8",",E,19,","15.7","E","0.0",",E","96.7",",,,E","21.37",",E","26.86",",,,E","15.88",",,,E"
"SPE00120611","1947-09","43.2981","-2.9056","42.0","BILBAO AEROPUERTO, SP","","","63.6",",E","12",",E","7",",E","3",",E","0",",E","0",",E","0",",E","26",",E","0",",E","19470929","+,,E","19470926",",,E","19470910",",,E","6.8",",E,29,+","41.8",",,E,26,","32.0",",E,10,","48.1","E","32.4",",E","136.2",",,,E","19.37",",E","24.35",",,,E","14.40",",,,E"
"SPE00120611","1947-10","43.2981","-2.9056","42.0","BILBAO AEROPUERTO, SP","","","5.4",",E","9",",E","7",",E","0",",E","0",",E","0",",E","0",",E","14",",E","0",",E","19471029",",,E","19471008",",,E","19471004",",,E","3.8",",E,29,","25.1",",,E,08,","28.0",",E,04,","130.2","E","82.1",",E","94.1",",,,E","15.86",",E","20.58",",,,E","11.14",",,,E"
"SPE00120611","1947-11","43.2981","-2.9056","42.0","BILBAO AEROPUERTO, SP","","","0.0",",E","12",",E","9",",E","2",",E","0",",E","0",",E","0",",E","6",",E","0",",E","19471130",",,E","19471128",",,E","19471120",",,E","0.5",",E,30,","29.8",",,E,28,","24.4",",E,20,","308.2","E","178.0",",E","115.4",",,,E","12.40",",E","17.87",",,,E","6.92",",,,E"
"SPE00120611","1947-12","43.2981","-2.9056","42.0","BILBAO AEROPUERTO, SP","","","0.0",",E","21",",E","14",",E","1",",E","0",",E","1",",E","0",",E","0",",E","0",",E","19471216",",,E","19471208",",,E","19471228",",,E","-2.0",",E,16,","25.6",",,E,08,","18.0",",E,28,","633.3","E","325.1",",E","174.6",",,,E","7.85",",E","11.14",",,,E","4.55",",,,E"
