"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ISE00105694","1962-06","32.0","34.7994","30.0","BET DAGAN, IS","","","141.9",",E","","","","","","","0",",E","0",",E","0",",E","30",",E","2",",E","19620603",",,E","","","19620611",",,E","13.0",",E,03,","","","40.1",",E,11,","","","0.0",",E","","","23.06",",E","29.64",",,,E","16.49",",,,E"
"ISE00105694","1962-07","32.0","34.7994","30.0","BET DAGAN, IS","","","189.6",",E","","","","","","","0",",E","0",",E","0",",E","31",",E","5",",E","19620715",",,E","","","19620715",",,E","14.0",",E,15,","","","34.3",",E,15,","0.0","E","0.0",",E","","","24.45",",E","30.76",",,,E","18.14",",,,E"
"ISE00105694","1962-08","32.0","34.7994","30.0","BET DAGAN, IS","","","246.1",",E","","","","","","","0",",E","0",",E","0",",E","31",",E","6",",E","19620829",",,E","","","19620810",",,E","17.1",",E,29,","","","36.3",",E,10,","0.0","E","0.0",",E","","","26.27",",E","31.55",",,,E","21.00",",,,E"
"ISE00105694","1962-09","32.0","34.7994","30.0","BET DAGAN, IS","","","177.1",",E","","","","","","","0",",E","0",",E","0",",E","30",",E","3",",E","19620923",",,E","","","19620926",",,E","14.0",",E,23,","","","33.1",",E,26,","0.0","E","0.0",",E","","","24.24",",E","30.56",",,,E","17.91",",,,E"
"ISE00105694","1962-10","32.0","34.7994","30.0","BET DAGAN, IS","","","119.6",",E","6",",E","4",",E","0",",E","0",",E","0",",E","0",",E","31",",E","0",",E","19621020",",,E","19621008",",,E","19621005",",,E","12.2",",E,20,","12.5",",,E,08,","31.8",",E,05,","0.0","E","0.0",",E","24.4",",,,E","22.19",",E","28.35",",,,E","16.04",",,,E"
"ISE00105694","1962-11","32.0","34.7994","30.0","BET DAGAN, IS","","","62.5",",E","0",",E","0",",E","0",",E","0",",E","0",",E","0",",E","30",",E","2",",E","19621128",",,E","19621130","+,,E","19621103",",,E","7.3",",E,28,","0.0",",,E,30,+","34.4",",E,03,","1.7","E","1.7",",E","0.0",",,,E","20.36",",E","28.55",",,,E","12.17",",,,E"
"ISE00105694","1962-12","32.0","34.7994","30.0","BET DAGAN, IS","","","6.5",",E","9",",E","7",",E","2",",E","0",",E","0",",E","0",",E","9",",E","0",",E","19621229","+,,E","19621207",",,E","19621202",",,E","5.4",",E,29,+","42.5",",,E,07,","29.5",",E,02,","108.3","E","106.6",",E","149.7",",,,E","15.10",",E","20.73",",,,E","9.48",",,,E"
"ISE00105694","1963-01","32.0","34.7994","30.0","BET DAGAN, IS","0.0","E","0.0","2,E","8",",E","5",",E","2",",E","0","1,E","0","1,E","0","1,E","7","1,E","0","1,E","19630129",",1,E","19630125",",,E","19630109",",1,E","1.6","1,E,29,","58.8",",,E,25,","25.3","1,E,09,","250.5","E","142.2","1,E","124.9",",,,E","13.39","2,E","19.86","1,,,E","6.91","1,,,E"
"ISE00105694","1963-02","32.0","34.7994","30.0","BET DAGAN, IS","3.7","E","3.7",",E","7",",E","3",",E","1",",E","0",",E","0",",E","0",",E","9",",E","0",",E","19630202",",,E","19630210",",,E","19630207",",,E","3.7",",E,02,","28.7",",,E,10,","27.8",",E,07,","352.4","E","101.9",",E","61.7",",,,E","14.83",",E","20.61",",,,E","9.05",",,,E"
"ISE00105694","1963-03","32.0","34.7994","30.0","BET DAGAN, IS","5.2","E","1.5",",E","8",",E","3",",E","0",",E","0",",E","0",",E","0",",E","8",",E","0",",E","19630309","+,,E","19630303",",,E","19630324",",,E","2.5",",E,09,+","7.1",",,E,03,","30.7",",E,24,","496.4","E","144.0",",E","22.4",",,,E","13.74",",E","19.98",",,,E","7.49",",,,E"
"ISE00105694","1963-04","32.0","34.7994","30.0","BET DAGAN, IS","31.1","E","25.9",",E","5",",E","1",",E","0",",E","0",",E","0",",E","0",",E","26",",E","1",",E","19630413","+,,E","19630422",",,E","19630419",",,E","6.5",",E,13,+","2.6",",,E,22,","34.0",",E,19,","521.7","E","25.3",",E","6.5",",,,E","18.35",",E","24.71",",,,E","12.00",",,,E"
"ISE00105694","1963-05","32.0","34.7994","30.0","BET DAGAN, IS","107.5","E","76.4",",E","1",",E","1",",E","0",",E","0",",E","0",",E","0",",E","31",",E","5",",E","19630503",",,E","19630506",",,E","19630522",",,E","8.3",",E,03,","4.0",",,E,06,","39.0",",E,22,","528.6","E","6.9",",E","4.0",",,,E","20.58",",E","27.09",",,,E","14.06",",,,E"
"ISE00105694","1963-06","32.0","34.7994","30.0","BET DAGAN, IS","249.6","E","142.1",",E","0",",E","0",",E","0",",E","0",",E","0",",E","0",",E","30",",E","3",",E","19630604",",,E","19630630","+,,E","19630607",",,E","11.7",",E,04,","0.0",",,E,30,+","38.8",",E,07,","528.6","E","0.0",",E","0.0",",,,E","23.07",",E","29.09",",,,E","17.04",",,,E"
"ISE00105694","1963-07","32.0","34.7994","30.0","BET DAGAN, IS","467.1","E","217.5",",E","0",",E","0",",E","0",",E","0",",E","0",",E","0",",E","31",",E","0",",E","19630702",",,E","19630731","+,,E","19630718",",,E","17.7",",E,02,","0.0",",,E,31,+","32.0",",E,18,","0.0","E","0.0",",E","0.0",",,,E","25.35",",E","30.59",",,,E","20.11",",,,E"
"ISE00105694","1963-08","32.0","34.7994","30.0","BET DAGAN, IS","720.8","E","253.7",",E","0",",E","0",",E","0",",E","0",",E","0",",E","0",",E","31",",E","4",",E","19630831",",,E","19630831","+,,E","19630817",",,E","17.8",",E,31,","0.0",",,E,31,+","33.0",",E,17,","0.0","E","0.0",",E","0.0",",,,E","26.52",",E","31.64",",,,E","21.40",",,,E"
"ISE00105694","1963-09","32.0","34.7994","30.0","BET DAGAN, IS","919.2","E","198.4",",E","0",",E","0",",E","0",",E","0",",E","0",",E","0",",E","30",",E","1",",E","19630927","+,,E","19630930","+,,E","19630905",",,E","17.4",",E,27,+","0.0",",,E,30,+","32.2",",E,05,","0.0","E","0.0",",E","0.0",",,,E","24.95",",E","30.51",",,,E","19.38",",,,E"
