"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IS000009972","1949-12","29.55","34.95","12.0","ELAT, IS","","","","","4",",E","3",",E","0",",E","","","","","","","","","","","","","19491220",",,E","","","","","8.0",",,E,20,","","","","","","","15.9",",,,E","","","","","",""
"IS000009972","1950-01","29.55","34.95","12.0","ELAT, IS","5.8","G","5.8","1,G","2",",E","1",",E","0",",E","0",",G","0",",G","0","1,G","8","1,G","0","1,G","19500128",",,G","19500108",",,E","19500105",",1,G","1.0",",G,28,","2.9",",,E,08,","25.0","1,G,05,","","","136.8","1,G","3.6",",,,E","13.94","1,G","19.40","1,,,G","8.48",",,,G"
"IS000009972","1950-02","29.55","34.95","12.0","ELAT, IS","11.1","G","5.3","1,G","1",",E","0",",E","0",",E","0",",G","0",",G","0","1,G","14","1,G","0","1,G","19500207",",,G","19500205",",,E","19500219",",1,G","1.0",",G,07,","0.3",",,E,05,","29.0","1,G,19,","","","95.8","1,G","0.4",",,,E","15.03","1,G","21.56","1,,,G","8.50",",,,G"
"IS000009972","1950-03","29.55","34.95","12.0","ELAT, IS","54.6","G","43.5","1,G","2",",E","1",",E","0",",E","0",",G","0",",G","0","1,G","29","1,G","0","1,G","19500319","+,,G","19500316",",,E","19500301",",1,G","9.0",",G,19,+","7.7",",,E,16,","32.0","1,G,01,","","","13.0","1,G","8.9",",,,E","19.38","1,G","25.53","1,,,G","13.23",",,,G"
"IS000009972","1950-04","29.55","34.95","12.0","ELAT, IS","234.4","G","179.8","3,G","3",",E","0",",E","0",",E","0","1,G","0","1,G","0","2,G","28","2,G","11","2,G","19500412",",1,G","19500408",",,E","19500426",",2,G","12.0","1,G,12,","1.4",",,E,08,","38.0","2,G,26,","","","0.3","2,G","3.3",",,,E","24.95","3,G","31.38","2,,,G","18.53","1,,,G"
"IS000009972","1950-05","29.55","34.95","12.0","ELAT, IS","","","","","1",",E","1",",E","0",",E","0","2,G","0","2,G","","","","","","","19500513",",2,G","19500511",",,E","","","14.0","2,G,13,","9.8",",,E,11,","","","","","","","9.8",",,,E","","","","","20.86","2,,,G"
"IS000009972","1950-06","29.55","34.95","12.0","ELAT, IS","","","316.2","5,G","0",",E","0",",E","0",",E","0","2,G","0","2,G","0","3,G","27","3,G","27","3,G","19500611","+,2,G","19500630","+,,E","19500625","+,3,G","21.0","2,G,11,+","0.0",",,E,30,+","41.0","3,G,25,+","","","0.0","3,G","0.0",",,,E","31.03","5,G","38.41","3,,,G","23.64","2,,,G"
"IS000009972","1950-07","29.55","34.95","12.0","ELAT, IS","","","","","0",",E","0",",E","0",",E","0","3,G","0","3,G","","","","","","","19500728",",3,G","19500731","+,,E","","","23.0","3,G,28,","0.0",",,E,31,+","","","","","","","0.0",",,,E","","","","","25.25","3,,,G"
"IS000009972","1950-08","29.55","34.95","12.0","ELAT, IS","","","","","0",",E","0",",E","0",",E","0","1,G","0","1,G","","","","","","","19500810",",1,G","19500831","+,,E","","","22.0","1,G,10,","0.0",",,E,31,+","","","","","","","0.0",",,,E","","","","","26.07","1,,,G"
"IS000009972","1950-09","29.55","34.95","12.0","ELAT, IS","","","318.8","4,G","0",",E","0",",E","0",",E","0","1,G","0","1,G","0","3,G","27","3,G","27","3,G","19500915",",1,G","19500930","+,,E","19500907",",3,G","20.0","1,G,15,","0.0",",,E,30,+","41.0","3,G,07,","","","0.0","3,G","0.0",",,,E","30.64","4,G","37.56","3,,,G","23.72","1,,,G"
